Trading_code    News Title   News   Post Date
MOR  ////// DSENEWS: Withdrawal of Authorized Representative  ////// Withdrawal of Authorized Representative: Moshihor Securities Ltd. (DSE TREC No. 134) has withdrawn one of its Authorized Representative, Mr. Md. Golam Isahak with immediate effect.  /////// 2020-12-30
........................................................................................................................REM  ////// DSENEWS: Withdrawal of Authorized Representative  ////// Withdrawal of Authorized Representative: Remons Investment & Securities Ltd. (DSE TREC No. 108) has withdrawn one of its Authorized Representative, Mr. Mohammad Rafiqul Islam with immediate effect.  /////// 2020-12-30
........................................................................................................................SHY  ////// DSENEWS: Withdrawal of Authorized Representative  ////// Withdrawal of Authorized Representative: Shyamol Equity Management Limited. (DSE TREC No. 3) has withdrawn one of its Authorized Representative, Mr. Md. Rakib Uddin with immediate effect.  /////// 2020-12-30
........................................................................................................................ALARABANK  ////// ALARABANK: Decision to issue Mudaraba Perpetual Bond  ////// The Company has informed that Board of Directors of AL -Arafah Islami Bank Limited has taken decision to issue Mudaraba Perpetual Bond for BDT. 500.00 Crore to strengthen Bank's Capital as requirement under Basel III in the name and style "AIBL Mudaraba Perpetual Bond" through private placement subject to approval of regulatory bodies.  /////// 2020-12-30
........................................................................................................................STANDBANKL  ////// STANDBANKL: Conversion into full-fledged Islamic Banking  ////// Refer to the earlier news disseminated on March 25, 2020, the company has further informed that they have received final NOC letter from Bangladesh Bank dated December 29, 2020 for conversion and inception of operation of Standard Bank Limited as full-fledged Islamic Bank with effect from 01.01.2021 comply with Guidelines for Conducting Islamic Banking issued by Bangladesh Bank.  /////// 2020-12-30
........................................................................................................................EXCH  ////// DSENEWS: Daily Turnover of DSE  ////// Today's (30.12.2020) Total Number of Trades: 243988; Volume: 507414037; and Value: BDT. 15432.742 million.  /////// 2020-12-30
........................................................................................................................EXCH  ////// DSENEWS: NEWS for Stock Brokers of DSE and Merchant Bankers  ////// (Continuation of DSENEWS): bank certificate(s) mentioning the FC account number which has been debited to issue the FDD and a copy of the list containing information of FDDs at Stock Exchange Building (Ground Floor), 9/F, Motijheel C/A, Dhaka-1000 or DSE Tower (Ground Floor), Plot # 46, Road # 21, Nikunja-2, Dhaka-1229 from 10:00 AM to 04:00 PM of January 3, 4 & 5, 2021. Please note that, as December 31, 2020 is a bank holiday, we are not considering it as a working day for this purpose. (end)  /////// 2020-12-30
........................................................................................................................EXCH  ////// DSENEWS: NEWS for Stock Brokers of DSE and Merchant Bankers  ////// DSENEWS: All the respective Stock Brokers of DSE and Merchant Bankers are requested to send IPO application data along with list of Bank drafts (FDDs) submitted by NRB and foreign applicants of Mir Akhter Hossain Limited in electronic format through IPO Data Transmission Software in the following link http://dsebd.org/IPO-Data-Transmission-Software.php and also send original bank certificates as well as all the bank drafts (FDD) received from NRB and foreign applicants along with original (Cont.)  /////// 2020-12-30
........................................................................................................................CONFIDCEM  ////// CONFIDCEM: Board Meeting schedule under LR 16(1)  ////// (Correction): As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on January 10, 2021 at 4:30 PM to consider, among others, un-audited financial statements of the Company for the First Quarter (Q1) period ended on September 30, 2020.  /////// 2020-12-30
........................................................................................................................CONFIDCEM  ////// CONFIDCEM: Board Meeting schedule under LR 16(1)  ////// As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on January 10, 2020 at 4:30 PM to consider, among others, un-audited financial statements of the Company for the First Quarter (Q1) period ended on September 30, 2020.  /////// 2020-12-30
........................................................................................................................CONFIDCEM  ////// CONFIDCEM: Board Meeting schedule under LR 19(1)  ////// As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on January 10, 2021 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended on June 30, 2020.  /////// 2020-12-30
