Trading_code    News Title   News   Post Date
RELIANCINS  ////// RELIANCINS: Buy Declarations of a Corporate Sponsor Director  ////// Trinco Limited, one of the Corporate Sponsor Directors of the Company, has expressed its intention to buy 5,04,500 shares of the Company at prevailing market price (in the Block Market) through Stock Exchanges (DSE) within next 30 working days.  /////// 2021-04-29
........................................................................................................................RELIANCINS  ////// RELIANCINS: Buy Declarations of a Corporate Sponsor Director  ////// Transfin Trading Limited, one of the Corporate Sponsor Directors of the Company, has expressed its intention to buy 5,04,500 shares of the Company at prevailing market price (in the Block Market) through Stock Exchanges (DSE) within next 30 working days.  /////// 2021-04-29
........................................................................................................................RELIANCINS  ////// RELIANCINS: Sale Declaration of a Corporate Sponsor Director  ////// Meenhar Fisheries Ltd. one of the Corporate Sponsor Directors of the Company, has expressed its intention to sell its entire holdings of 22,00,000 shares of the Company at prevailing market price (in the Block Market) through Stock Exchange (DSE) within next 30 working days.  /////// 2021-04-29
........................................................................................................................EXCH  ////// DSENEWS: Daily Turnover  ////// Today's (29.04.2021) Total Trades: 174,439; Volume: 287,156,171 and Turnover: Tk. 11,728.884 million.  /////// 2021-04-29
........................................................................................................................DBH  ////// DBH: Board Meeting schedule under LR 16(1)  ////// As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on May 06, 2021 at 1:00 PM to consider, among others, un-audited financial statements of the Company for the First Quarter (Q1) period ended on March 31, 2021.  /////// 2021-04-29
........................................................................................................................UNILEVERCL  ////// UNILEVERCL: Intimation on Inter Company Supply Agreement  ////// (Continuation news of UNILEVERCL): other products (as be mutually agreed upon from time to time between the parties in writing) from UIEL which are being used for manufacturing and marketing of food products amounting to 10% or above of the total revenue of the Company as shown in the Statement of Profit or Loss and other Comprehensive Income for the immediately preceding financial year be and are hereby considered and approved. (end)  /////// 2021-04-29
........................................................................................................................UNILEVERCL  ////// UNILEVERCL: Intimation on Inter Company Supply Agreement  ////// The Company has informed that they have Signed Inter Company Supply Agreement between Unilever Consumer Care Limited and Unilever India Exports Limited (UIEL) (related party) on 1st July 2020 and its subsequent any amendments or extensions for purchase of raw materials (i.e. Dry Mix Ingredients, Dry Vitamin Premix etc.) and (cont.)  /////// 2021-04-29
........................................................................................................................HAKKANIPUL  ////// HAKKANIPUL: Board Meeting schedule under LR 16(1)  ////// As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on May 04, 2021 at 2:30 PM to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended on March 31, 2021.  /////// 2021-04-29
........................................................................................................................APEXFOODS  ////// APEXFOODS: Board Meeting schedule under LR 16(1)  ////// As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on May 06, 2021 at 2:30 PM to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended on March 31, 2021.  /////// 2021-04-29
........................................................................................................................APEXSPINN  ////// APEXSPINN: Board Meeting schedule under LR 16(1)  ////// As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on May 06, 2021 at 2:00 PM to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended on March 31, 2021.  /////// 2021-04-29
........................................................................................................................DHAKABANK  ////// DHAKABANK: Board Meeting schedule under LR 19(1)  ////// As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on May 6, 2021 at 1:30 PM to consider, among others, audited financial statements of the Company for the year ended on December 31, 2020.  /////// 2021-04-29
........................................................................................................................IPDC  ////// IPDC: Dividend Disbursement  ////// The Company has informed that it has disbursed the cash dividend for the year ended on December 31, 2020 to the respective shareholders.  /////// 2021-04-29
........................................................................................................................RAHIMAFOOD  ////// RAHIMAFOOD: Sale & Buy Declaration  ////// Mr. Biswajit Saha, Power of Attorney of one of the Sponsors of the company named Mrs. Rafia Chowdhury, has expressed his intention to sell entire holdings of 18,59,088 shares of Mrs. Rafia Chowdhury of the Company, whereas Mr. Md. Hasan, Ms. Hamida Rahman and Mr. Fazlur Rahman, Directors of the Company have expressed their intention to buy 6,19,696 shares each at prevailing market price (in the Block Market) through Stock Exchange (DSE) within today, April 29, 2021.  /////// 2021-04-29
........................................................................................................................TAUFIKA  ////// TAUFIKA: Resumption after record date  ////// Trading of the shares of the Company will resume on 02.05.2021 after record date.  /////// 2021-04-29
........................................................................................................................LINDEBD  ////// LINDEBD: Resumption after record date  ////// Trading of the shares of the Company will resume on 02.05.2021 after record date.  /////// 2021-04-29
........................................................................................................................UTTARABANK  ////// UTTARABANK: Suspension for Record date  ////// Trading of the shares of the Company will remain suspended on record date i.e., 02.05.2021.  /////// 2021-04-29
........................................................................................................................ROBI  ////// ROBI: Suspension for Record date  ////// Trading of the shares of the Company will remain suspended on record date i.e., 02.05.2021 for entitlement of interim dividend.  /////// 2021-04-29
