Trading_code    News Title   News   Post Date
EXCH  ////// DSENEWS: Daily Turnover  ////// Today's (28.02.2021) Total Trades: 134,579; Volume: 162,027,384 and Turnover: Tk. 6,606.427 million.  /////// 2021-02-28
........................................................................................................................EXCH  ////// DSENEWS: NEWS for Stock Brokers of DSE and Merchant Bankers  ////// (Continuation of DSENEWS): and foreign applicants along with original bank certificate(s) mentioning the FC account number which has been debited to issue the FDD and a copy of the list containing information of FDDs at Stock Exchange Building (Ground Floor), 9/F, Motijheel C/A, Dhaka-1000 or DSE Tower (Ground Floor), Plot # 46, Road # 21, Nikunja-2, Dhaka-1229 from 10:00 AM to 04:00 PM of March 01, 02 & 03, 2021. Please be informed that no data will be received after aforementioned date and time. (end)  /////// 2021-02-28
........................................................................................................................EXCH  ////// DSENEWS: NEWS for Stock Brokers of DSE and Merchant Bankers  ////// NEWS for Stock Brokers of DSE and Merchant Bankers: All the respective Stock Brokers of DSE and Merchant Bankers are requested to send IPO application data along with list of Bank drafts (FDDs) submitted by NRB and foreign applicants of Index Agro Industries Limited in electronic format through IPO Data Transmission Software in the following link: http://dsebd.org/IPO-Data-Transmission-Software.php and also send original bank certificates as well as all the bank drafts (FDD) received from NRB (Cont.)  /////// 2021-02-28
........................................................................................................................INTECH  ////// INTECH: Resumption after record date  ////// Trading of the shares of the Company will resume on 01.03.2021 after record date.  /////// 2021-02-28
........................................................................................................................SSSTEEL  ////// SSSTEEL: Resumption after record date  ////// Trading of the shares of the Company will resume on 01.03.2021 after record date.  /////// 2021-02-28
........................................................................................................................BSRMSTEEL  ////// BSRMSTEEL: Resumption after record date  ////// Trading of the shares of the Company will resume on 01.03.2021 after record date.  /////// 2021-02-28
........................................................................................................................BSRMLTD  ////// BSRMLTD: Resumption after record date  ////// Trading of the shares of the Company will resume on 01.03.2021 after record date.  /////// 2021-02-28
........................................................................................................................BATBC  ////// BATBC: Spot News  ////// Trading of the shares of the Company will be allowed only in the Spot Market and Block transactions will also be settled as per Spot settlement cycle with cum benefit from 01.03.2021 to 02.03.2021. Trading of the shares of the Company will remain suspended on record date i.e., 03.03.2021.  /////// 2021-02-28
........................................................................................................................MHSML  ////// MHSML: Fire incident at New Spinning warehouse  ////// (Continuation news of MHSML): After recognizer the fire safety team of the Company started their fire fighter as well fire service reached at the affected area immediately. With the help of 04 unit fire service defense authority, the fire got under control after 6/7 hours. The approximate loss estimated BDT 15.00 crore. The Company also informed that all the Row Cotton, Finished Yarn and warehouse Shed are under insurance coverage and appointed surveyor of the insurance company doing the survey. (end)  /////// 2021-02-28
........................................................................................................................MHSML  ////// MHSML: Fire incident at New Spinning warehouse  ////// The Company has informed that an accidental fire hazard happened at New Spinning warehouse (Ring unit) of the Company. The accident happened at 8.05 pm dated 26.02.2021 at Ring unit warehouse. At the fire Row Cotton, Finished Yarn and warehouse Shed damage due to the fire. (cont.)  /////// 2021-02-28
........................................................................................................................NPOLYMAR  ////// NPOLYMAR: Rights share Credited on BO Accounts  ////// The Company has informed that it has credited Rights shares to the respective shareholders' BO accounts on February 28, 2021.  /////// 2021-02-28
........................................................................................................................CAPMIBBLMF  ////// CAPMIBBLMF: Weekly NAV  ////// On the close of operation on February 25, 2021, the Fund has reported Net Asset Value (NAV) of Tk. 10.96 per unit on the basis of current market price and Tk. 11.45 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 732,511,643.04 on the basis of current market price and Tk. 765,625,791.67 on the basis of cost price after considering all assets and liabilities of the Fund.  /////// 2021-02-28
........................................................................................................................CAPMBDBLMF  ////// CAPMBDBLMF: Weekly NAV  ////// On the close of operation on February 25, 2021, the Fund has reported Net Asset Value (NAV) of Tk. 10.62 per unit on the basis of current market price and Tk. 11.63 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 532,544,788.88 on the basis of current market price and Tk. 583,222,475.23 on the basis of cost price after considering all assets and liabilities of the Fund.  /////// 2021-02-28
........................................................................................................................SEMLFBSLGF  ////// SEMLFBSLGF: Weekly NAV  ////// On the close of operation on February 25, 2021, the Fund has reported Net Asset Value (NAV) of Tk. 11.77 per unit on the basis of current market price and Tk. 11.85 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 858,599,121.94 on the basis of current market price and Tk. 864,082,546.32 on the basis of cost price after considering all assets and liabilities of the Fund.  /////// 2021-02-28
........................................................................................................................SEMLIBBLSF  ////// SEMLIBBLSF: Weekly NAV  ////// On the close of operation on February 25, 2021, the Fund has reported Net Asset Value (NAV) of Tk. 10.80 per unit on the basis of current market price and Tk. 11.72 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,079,749,660.03 on the basis of current market price and Tk. 1,171,638,849.97 on the basis of cost price after considering all assets and liabilities of the Fund.  /////// 2021-02-28
