Trading_code    News Title   News   Post Date
CRYSTALINS  ////// CRYSTALINS: Credit Rating Result  ////// Credit Rating Agency of Bangladesh Limited (CRAB) has announced the rating of the Company as "A1" in the long term and "ST-2" in the short term along with a stable outlook based on audited financial statements of the Company up to December 31, 2020, and other relevant quantitative as well as qualitative information up to the date of rating declaration.  /////// 2021-06-30
........................................................................................................................MLDYEING  ////// MLDYEING: Start Production Activities - Spinning Unit  ////// (Continuation news of MLDYEING): 4) Production Started: Initially started 10 ton per day (at 50 % capacity), rest part (50%) machine capacity L/C and installation are in progress, 5) Estimated project cost: BDT. 62.58 crore, 6) Estimated Turnover of the project: BDT. 80.00 crore (Approx.) yearly and 7) Estimated Net profit of the project: BDT. 13.00 crore (Approx.) yearly. (end)  /////// 2021-06-30
........................................................................................................................MLDYEING  ////// MLDYEING: Start Production Activities - Spinning Unit  ////// Refer to their earlier news disseminated by DSE on 12.04.2021, the Company has informed that production of M. L. Dyeing Limited - Spinning Unit has been started today (30.06.2021) following an induction ceremony. The particulars of the Spinning Unit are as follows: 1) Name of new unit: M. L. Dyeing Limited - Spinning Unit, 2) Unit location: Mouja: Mohona Bhabanipur, Gazipur Sadar, Gazipur, 3) Production Capacity: 20 ton yarn per day, (cont.)  /////// 2021-06-30
........................................................................................................................EXCH  ////// DSENEWS: Daily Turnover  ////// Today's (30.06.2021) Total Trades: 236,810; Volume: 499,231,921 and Turnover: Tk. 14,078.976 million.  /////// 2021-06-30
........................................................................................................................STANDBANKL  ////// STANDBANKL: Credit Rating Result  ////// ARGUS Credit Rating Services Limited (ACRSL) has announced the rating of the Company as "AA+" for long term and "ST-2" for short term in consideration of financials of the Company up to December 31, 2020 (audited), Q1FY21 (unaudited) and other relevant quantitative as well as qualitative information up to the date of rating declaration.  /////// 2021-06-30
........................................................................................................................EXCH  ////// DSENEWS: Bank Holiday  ////// Trading at DSE will remain closed on July 01, 2021 due to Bank Holiday.  /////// 2021-06-30
........................................................................................................................SOUTHEASTB  ////// SOUTHEASTB: Declaration of share receipt by a Sponsor  ////// Ms. Farzana Azim, one of the Sponsors of the Company has expressed her intention to receive 48,10,720 shares from her Brother Mr. Mamun Azim, a General Shareholder of the Company, by way of gift outside the trading system of the Exchange within next 30 working days from the date of issuance of approval letter by DSE.  /////// 2021-06-30
........................................................................................................................GREENDELMF  ////// GREENDELMF: Emphasis of Matter  ////// (Continuation news of GREENDELMF): This expense is not related to the Fund because the Fund Manager receives management fee for performing various functions. Investment research is one of the core functions among them. As a result, expenses and net loss for the year ended 30 June 2020 have been overstated by Taka 751,085. (end)  /////// 2021-06-30
........................................................................................................................GREENDELMF  ////// GREENDELMF: Emphasis of Matter  ////// (Continuation news of GREENDELMF): occurred 11 months delay in finalizing financial statements of the Fund. Moreover, publication and other expenses (note - 28) include legal expenses of Taka 1,381,082 incurred for the purpose of investigation on price manipulation and court proceedings. 5. Publication and Other expenses (note-28) also include Taka 751,085 which has been incurred for installation of Bloomberg terminal for the purpose of investment research. (cont.7)  /////// 2021-06-30
........................................................................................................................GREENDELMF  ////// GREENDELMF: Emphasis of Matter  ////// (Continuation news of GREENDELMF): the shares have been acquired at higher price but in the absence of independent valuation report, we could not quantity the overstatement of assets and the amount of provision required on the said investment. 4. In note - 3.7 to the accompanying financial statements, the Fund Manager has disclosed why the operation of the Fund had remained suspended twice from 23 December 2019 to 11 February 2020 and from 12 March 2020 to 31 March 2021 and (cont.6)  /////// 2021-06-30
........................................................................................................................GREENDELMF  ////// GREENDELMF: Emphasis of Matter  ////// (Continuation news of GREENDELMF): 2019 and 30 June 2020 were negative Taka (441.04) and Taka 1654.50 respectively whereas loss per share for the year ended 30 June 2019 and 30 June 2020 were Taka (139.69) and Taka (61.25) respectively. The increase on NAV per share to Taka 1654.50 from negative Taka (441.04) is apparently due to share premium of Taka 12,400 per share received from different funds managed by the Fund Manager against purchase of shares. Apparently, (cont.5)  /////// 2021-06-30
........................................................................................................................GREENDELMF  ////// GREENDELMF: Emphasis of Matter  ////// (Continuation news of GREENDELMF): shares of Taka 100 each of Bangladesh News 24 Hours Ltd. at a price of Taka 12,500 each. Out of the said 6,414 ordinary shares 3,207 shares were directly purchased from the company and the remaining 3,207 shares were purchased from Mr. Toufique lmrose Khalidi, Managing Director of the company. We have not been provided any valuation report of the said investment. However, as per audited financial statements, the net asset value as at 30 June (cont.4)  /////// 2021-06-30
........................................................................................................................GREENDELMF  ////// GREENDELMF: Emphasis of Matter  ////// (Continuation news of GREENDELMF): The Fund has revalued the investment at Taka 54.48 per share based on discounted cash flow method. The cash flow projection and other forecast on which the valuation is made are unlikely to achieve and involve uncertainties. However, the net asset value (NAV) per share of the company as at 30 June 2020 was Taka 37.71. 3. As disclosed in Annexure-D, the Fund has made an investment of Taka 80,175,000 through purchase of 6,414 ordinary (cont.3)  /////// 2021-06-30
........................................................................................................................GREENDELMF  ////// GREENDELMF: Emphasis of Matter  ////// (Continuation news of GREENDELMF): The cash flow projection and other forecast on which the valuation is made are unlikely to achieve and involve uncertainties. However, the net asset value (NAV) per share of the company as at 30 June 2020 was Taka 23.66. 2.As disclosed in note - 4.2(ii)(b) and annexure-D, the Fund has invested Taka 28,600,000 by acquiring 1,300,000 ordinary shares of Taka 10 each of Unicom Industries Limited at a price of Taka 22 each. (cont.2)  /////// 2021-06-30
........................................................................................................................GREENDELMF  ////// GREENDELMF: Emphasis of Matter  ////// The auditor of the Green Delta Mutual Fund has given the "Emphasis of Matter" paragraphs in the Auditor's Report for the year ended on 30 June 2020. Emphasis of Matter: 1. As disclosed in note-4.2(ii)(a) and annexure-D, the Fund has invested Taka 6,270,000 by acquiring 66,000 ordinary shares of Taka 10 each of Energy Prima Limited at a price of Taka 95 each. The Fund has revalued the investment at Taka 31.39 per share based on discounted cash flow method. (cont.1)  /////// 2021-06-30
........................................................................................................................DBH1STMF  ////// DBH1STMF: Emphasis of Matter  ////// (Continuation news of DBH1STMF): This expense is not related to the Fund because the Fund Manager receives management fee for performing various functions. Investment research is one of the core functions among them. As a result, expenses and net loss for the year ended 30 June 2020 have been overstated by Taka 751,085. (end)  /////// 2021-06-30
........................................................................................................................DBH1STMF  ////// DBH1STMF: Emphasis of Matter  ////// (Continuation news of DBH1STMF): occurred 11months delay in finalizing financial statements of the Fund. Moreover, publication and other expenses (note-28) include legal expenses of Taka 1,372,982 incurred for the purpose of investigation on price manipulation and court proceedings. 5. Publication and other expenses (note-28) also include Taka 751,085 which has been incurred for installation of Bloomberg terminal for the purpose of investment research. (cont.7)  /////// 2021-06-30
........................................................................................................................DBH1STMF  ////// DBH1STMF: Emphasis of Matter  ////// (Continuation news of DBH1STMF): the shares have been acquired at higher price but in the absence of independent valuation report, we could not quantify the overstatement of assets and the amount of provision required on the said investment. 4. In note-3.7 to the accompanying financial statements, the Fund Manager has disclosed why the operation of the Fund had remained suspended twice from 23 December 2019 to 11 February 2020 and from 12 March 2020 to 31 March 2021 and (cont.6)  /////// 2021-06-30
