Trading_code    News Title   News   Post Date
EXCH  ////// DSENEWS: Daily Turnover  ////// Today's (30.09.2021) Total Trades: 314,076; Volume: 552,436,748 and Turnover: Tk. 25,023.021 million.  /////// 2021-09-30
........................................................................................................................INDEXAGRO  ////// INDEXAGRO: Board Meeting schedule under LR 19(1)  ////// As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 07, 2021 at 4:00 PM to consider, among others, audited financial statements of the Company for the year ended on June 30, 2021.  /////// 2021-09-30
........................................................................................................................MEGHNALIFE  ////// MEGHNALIFE: Sale Declaration of a Sponsor  ////// Md. Jamal Uddin, one of the Sponsors of the Company, has expressed his intention to sell his entire holdings of 71,512 shares of the Company at prevailing market price (in the Public Market) through Stock Exchange (DSE) within October 31, 2021.  /////// 2021-09-30
........................................................................................................................MEGHNALIFE  ////// MEGHNALIFE: Sale Declaration of a Sponsor  ////// Mst. Jobaida Alam, one of the Sponsors of the Company, has expressed her intention to sell her entire holdings of 59,814 shares of the Company at prevailing market price (in the Public Market) through Stock Exchange (DSE) within October 31, 2021.  /////// 2021-09-30
........................................................................................................................RSRMSTEEL  ////// RSRMSTEEL: Intimation regarding restarting the production process  ////// (continuation news of RSRMSTEEL): The Company inform that they are going to restart their production process in the mill of Ratanpur Steel Re-Rolling Mills Limited from October 04, 2020. (end)  /////// 2021-09-30
........................................................................................................................RSRMSTEEL  ////// RSRMSTEEL: Intimation regarding restarting the production process  ////// (continuation news of RSRMSTEEL): So, again the electricity will be available in the mill that can able to start the production process. Due to the pandemic situation of COVID-19 whole over the world, this process has taken a long time to complete. (cont. 4)  /////// 2021-09-30
........................................................................................................................RSRMSTEEL  ////// RSRMSTEEL: Intimation regarding restarting the production process  ////// (continuation news of RSRMSTEEL): The Company informed that the equipment of this plant (Sub-station) was imported from China and it was installed by the specialized Engineer from China. To replace the damage equipment's in the plant, presently the Company already imported the related equipment's from China through LC and the equipment's already re-installed by the specialized Engineer from China. (cont. 3)  /////// 2021-09-30
........................................................................................................................GIA  ////// DSENEWS: Withdrawal of Authorized Representative  ////// Withdrawal of Authorized Representative: G M F Securities Ltd. (DSE TREC No. 186) has withdrawn one of its Authorized Representative, Ms. Nasrin Khan with immediate effect.  /////// 2021-09-30
........................................................................................................................RSRMSTEEL  ////// RSRMSTEEL: Intimation regarding restarting the production process  ////// (continuation news of RSRMSTEEL): As a result, unavailability of the electricity, the Company could not continue their production process in the mill. The Company also informed that they always abide by the BSEC and Stock Exchange rules and regulations, it was their lack of knowledge that they could not informed to the regulators on time. (cont. 2)  /////// 2021-09-30
........................................................................................................................MERCANBANK  ////// MERCANBANK: Sale Declaration of a Sponsor  ////// Md. Mizanur Rahman Chowdhury, one of the Sponsors of the Company, has expressed his intention to sell 10,00,000 shares out of his total holding of 73,32,200 shares of the Company at prevailing market price (in the Public Market) through Stock Exchange (DSE) within October 31, 2021.  /////// 2021-09-30
........................................................................................................................RSRMSTEEL  ////// RSRMSTEEL: Intimation regarding restarting the production process  ////// The Company has informed that according to the process of the MS-Rod Manufacturing, it consumed huge electricity and this electricity comes from the Company Sub-station (connected with the National Grid) which is nearest to the mill. There was an electrical incident in the sub-station and intensely damages the system. (cont. 1)  /////// 2021-09-30
........................................................................................................................BXSYNTH  ////// BXSYNTH: Extension of suspension period of Trading of Shares  ////// BSEC News: Referring to the earlier news disseminated on 16.09.2021 regarding Suspension of trading of the shares of BXSYNTH as per BSEC Directive, the trading of the shares has been further suspended for 15 days effective from October 03, 2021 as per BSEC Directive No. BSEC/SRMIC/174-2020/52 dated September 07, 2020 under Section 9(7) of the Securities and Exchange Ordinance, 1969 (Ordinance No. XVII of 1969) subject to the compliance of Section 9(8) of this Ordinance.  /////// 2021-09-30
........................................................................................................................EXCH  ////// DSENEWS: Launching of DSE SME Index ("DSMEX")  ////// (Continuation of DSENEWS): The Index values are under calculation and will start displaying on test run basis into DSE SME Website from Sunday, 3 October 2021. On 2 January 2022, (subject to trading day), DSMEX will be displayed, Officially, in DSE SME Website. The base value is 1000 for DSE SME Index. (end)  /////// 2021-09-30
........................................................................................................................EXCH  ////// DSENEWS: Launching of DSE SME Index ("DSMEX")  ////// As per Bangladesh Securities and Exchange Commission ("BSEC") Notification No. BSEC/SRMIC/94-231/Part-6/225, dated September 16, 2021, Dhaka Stock Exchange ("DSE") designed and developed a General Index Methodology for DSE SME Market. (cont.)  /////// 2021-09-30
........................................................................................................................AGRANINS  ////// AGRANINS: Board Meeting schedule under LR 16(1)  ////// As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 06, 2021 at 3:45 PM to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended on September 30, 2021.  /////// 2021-09-30
........................................................................................................................ANWARGALV  ////// ANWARGALV: Board Meeting schedule under LR 16(1)  ////// As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 09, 2021 at 4:30 PM to consider, among others, un-audited financial statements of the Company for the First Quarter (Q1) period ended on September 30, 2021.  /////// 2021-09-30
........................................................................................................................ANWARGALV  ////// ANWARGALV: Board Meeting schedule under LR 19(1)  ////// As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 09, 2021 at 12:30 PM to consider, among others, audited financial statements of the Company for the year ended on June 30, 2021.  /////// 2021-09-30
........................................................................................................................BNICL  ////// BNICL: Credit Rating Result  ////// Emerging Credit Rating Limited (ECRL) has assigned the surveillance rating of the Company as "AA" in the long term and "ST-2" in the short term along with a stable outlook based on audited financial statements of the Company from 2016 to 2020 and six months unaudited financial statements till June 30, 2021 and other relevant quantitative as well as qualitative information up to the date of rating.  /////// 2021-09-30
........................................................................................................................GRAMEENS2  ////// GRAMEENS2: Dividend Disbursement  ////// The Asset Manager of the Fund has informed that it has disbursed Cash Dividend for the year ended on June 30, 2021 to the respective unit holders' Bank Accounts through BEFTN system.  /////// 2021-09-30
........................................................................................................................RELIANCE1  ////// RELIANCE1: Dividend Disbursement  ////// The Asset Manager of the Fund has informed that it has disbursed Cash Dividend for the year ended on June 30, 2021 to the respective unit holders' Bank Accounts through BEFTN system.  /////// 2021-09-30
........................................................................................................................IBP  ////// IBP: Decision to Land Purchase  ////// The company has informed the Board of Directors has decided to purchased and executed register sale deed for the purchase of land measuring 1.612 acres as 2nd phase at the cost of Tk. 4,20,68,320.00 (including of registration fee and other relevant cost Tk. 45,07,320.00) situated at Fulbaria, Kaliakoir, Gazipur. The purpose of the land is for future expansion of the business and the amount was paid from the own fund of the company.  /////// 2021-09-30
........................................................................................................................PRIMEFIN  ////// PRIMEFIN: Resumption after record date  ////// Trading of the shares of the Company will resume on 03.10.2021 after record date.  /////// 2021-09-30
........................................................................................................................GSPFINANCE  ////// GSPFINANCE: Approval of 10% stock dividend  ////// The Company has informed that Bangladesh Bank has instructed vide letter dated September 27, 2021 to pay 10% stock dividend instead of 5.50% cash and 5.50% stock dividend. The Board of Directors and Shareholders of the Company has approved 10% stock dividend instead of earlier declared 5.50% cash and 5.50% stock dividend for the year ended on December 31, 2020 in their 26th AGM which was held on September 28, 2021.  /////// 2021-09-30
........................................................................................................................EXCH  ////// DSENEWS: Commencement of electronic subscription of Krishibid Feed Limited  ////// (Continuation of DSENEWS): United Commercial Bank Limited (A/C Name: Dhaka Stock Exchange Limited, A/C No.: 1511308000000016) in between 10:00 a.m. ofOctober10, 2021to 2:00 p.m. of October14, 2021 (during banking hour). Please visit the following website for subscription related updates: https://www.essbangladesh.com. (end)  /////// 2021-09-30
........................................................................................................................EXCH  ////// DSENEWS: Commencement of electronic subscription of Krishibid Feed Limited  ////// (Continuation of DSENEWS): Ref: BSEC/CI/QIO-SC-14/2021/535 dated September 21, 2021. The Central Depository Bangladesh Limited (CDBL) shall send a report to the exchange regarding the holding of QIs in the listed securities and the exchange shall ensure the compliance in this regard. Participating QIs will be required to pay full subscription amount (100%) through (cont. 3)  /////// 2021-09-30
