Trading_code    News Title   News   Post Date
EXCH  ////// DSENEWS: Daily Turnover  ////// Today's (31.08.2022) Total Trades: 323,253; Volume: 526,242,644 and Turnover: Tk. 20,056.945 million.  /////// 2022-08-31
........................................................................................................................ABF  ////// DSENEWS: Withdrawal of Authorized Representative  ////// Withdrawal of Authorized Representative: AB Securities Ltd. (DSE TREC No. 201) has withdrawn one of its Authorized Representatives, Mr. Md. Ali Arman Khan with immediate effect.  /////// 2022-08-31
........................................................................................................................APEXTANRY  ////// APEXTANRY: Board Meeting schedule under LR 19(1)  ////// As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the company has informed that a meeting of the Board of Directors will be held on September 08, 2022 at 3:00 PM to consider, among others, audited financial statements of the company for the year ended June 30, 2022.  /////// 2022-08-31
........................................................................................................................SONALILIFE  ////// SONALILIFE: Resumption after record date  ////// Trading of the shares of the company will resume on 01.09.2022 after record date.  /////// 2022-08-31
........................................................................................................................DBH  ////// DBH: Resumption after record date  ////// Trading of the shares of the company will resume on 01.09.2022 after record date.  /////// 2022-08-31
........................................................................................................................ATCSLGF  ////// ATCSLGF: Spot News  ////// Trading of the units of the Fund will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 01.09.2022 to 04.09.2022 and trading of the units of the Fund will remain suspended on record date i.e., 05.09.2022.  /////// 2022-08-31
........................................................................................................................GREENDELMF  ////// GREENDELMF: Spot News  ////// Trading of the units of the Fund will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 01.09.2022 to 04.09.2022 and trading of the units of the Fund will remain suspended on record date i.e., 05.09.2022.  /////// 2022-08-31
........................................................................................................................DBH1STMF  ////// DBH1STMF: Spot News  ////// Trading of the units of the Fund will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 01.09.2022 to 04.09.2022 and trading of the units of the Fund will remain suspended on record date i.e., 05.09.2022.  /////// 2022-08-31
........................................................................................................................ICBAGRANI1  ////// ICBAGRANI1: Spot News  ////// Trading of the units of the Fund will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 01.09.2022 to 04.09.2022 and trading of the units of the Fund will remain suspended on record date i.e., 05.09.2022.  /////// 2022-08-31
........................................................................................................................ICBSONALI1  ////// ICBSONALI1: Spot News  ////// Trading of the units of the Fund will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 01.09.2022 to 04.09.2022 and trading of the units of the Fund will remain suspended on record date i.e., 05.09.2022.  /////// 2022-08-31
........................................................................................................................IFILISLMF1  ////// IFILISLMF1: Spot News  ////// Trading of the units of the Fund will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 01.09.2022 to 04.09.2022 and trading of the units of the Fund will remain suspended on record date i.e., 05.09.2022.  /////// 2022-08-31
........................................................................................................................ICB3RDNRB  ////// ICB3RDNRB: Spot News  ////// Trading of the units of the Fund will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 01.09.2022 to 04.09.2022 and trading of the units of the Fund will remain suspended on record date i.e., 05.09.2022.  /////// 2022-08-31
........................................................................................................................PF1STMF  ////// PF1STMF: Spot News  ////// Trading of the units of the Fund will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 01.09.2022 to 04.09.2022 and trading of the units of the Fund will remain suspended on record date i.e., 05.09.2022.  /////// 2022-08-31
........................................................................................................................PRIME1ICBA  ////// PRIME1ICBA: Spot News  ////// Trading of the units of the Fund will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 01.09.2022 to 04.09.2022 and trading of the units of the Fund will remain suspended on record date i.e., 05.09.2022.  /////// 2022-08-31
........................................................................................................................ICBEPMF1S1  ////// ICBEPMF1S1: Spot News  ////// Trading of the units of the Fund will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 01.09.2022 to 04.09.2022 and trading of the units of the Fund will remain suspended on record date i.e., 05.09.2022.  /////// 2022-08-31
........................................................................................................................ICBAMCL2ND  ////// ICBAMCL2ND: Spot News  ////// Trading of the units of the Fund will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 01.09.2022 to 04.09.2022 and trading of the units of the Fund will remain suspended on record date i.e., 05.09.2022.  /////// 2022-08-31
