Trading_code    News Title   News   Post Date
EXCH  ////// DSENEWS: Daily Turnover  ////// Today's (31.07.2022) Total Trades: 126,820; Volume: 144,941,097 and Turnover: Tk. 5,679.594 million.  /////// 2022-07-31
........................................................................................................................SONALILIFE  ////// SONALILIFE : Update of Information  ////// (Continuation news of SONALILIFE): The Company has further requested all Members to update their email addresses through their respective Depository Participant (DP) and shareholders bearing Folio numbers are requested to submit their email addresses to the Share Department of the Company by 31st August 2022. (end)  /////// 2022-07-31
........................................................................................................................SONALILIFE  ////// SONALILIFE : Update of Information  ////// (Continuation news of SONALILIFE): The Company has also requested all stock Brokerage Houses to provide the names of the margin holders, shareholdings, e-TIN, telephone, fax numbers and email addresses as on record date. The Company further requested to provide the beneficiary's name (DP), bank name, bank account number, and routing number by 15th September 2022 positively to get the dividend amount. (cont.2)  /////// 2022-07-31
........................................................................................................................SONALILIFE  ////// SONALILIFE : Update of Information  ////// The Company has requested the Valued shareholders to update their addresses and bank account information (if required) in their respective BO/Folio accounts before 31st August, 2022. Shareholders with BO numbers should update their BO Account information by inserting a 12-digit e-TIN number through Depository Participants (DP), while shareholders with Folio numbers should submit their 12-digit e-TIN to the Company's Share Department by 31st August, 2022. (cont.1)  /////// 2022-07-31
........................................................................................................................POPULARLIF  ////// POPULARLIF: Q2 Financials  ////// (Continuation news of POPULARLIF): Excess of total expenses over total income of Life Revenue Account for January-June 2022 was Tk. 2358.19 million as against excess of total expenses over total income of Life Revenue Account for January-June 2021 was Tk. 817.31 million. Balance of Life Insurance fund as on June 30, 2022 was Tk. 15601.86 million as against Tk. 16782.35 million as on June 30, 2021. (end)  /////// 2022-07-31
........................................................................................................................POPULARLIF  ////// POPULARLIF: Q2 Financials  ////// (Q2 Un-audited): Since actuarial valuation is done after year ending, EPS and NAV have not been calculated half yearly. NOCFPS was Tk. (34.09) for January-June 2022 as against Tk. (3.94) for January-June 2021. Excess of total expenses over total income of Life Revenue Account for Apr-June 2022 was Tk. 1369.58 million as against excess of total expenses over total income of Life Revenue Account for Apr-June 2021 was Tk. 555.38 million. (cont.)  /////// 2022-07-31
........................................................................................................................POPULARLIF  ////// POPULARLIF: Q1 Financials  ////// (Continuation news of POPULARLIF): Balance of Life Insurance fund as on March 31, 2022 was Tk. 16992.75 million as against Tk. 17328.66 million as on March 31, 2021. (end)  /////// 2022-07-31
........................................................................................................................POPULARLIF  ////// POPULARLIF: Q1 Financials  ////// (Q1 Un-audited): Since actuarial valuation is done after year ending, EPS and NAV have not been calculated quarterly. NOCFPS was Tk. (0.85) for January-March 2022 as against Tk. 4.92 for January-March 2021. Excess of total expenses over total income of Life Revenue Account for January-March 2022 was Tk. 960.87 million as against excess of total expenses over total income of Life Revenue Account for January-March 2021 was Tk. 261.93 million. (cont.)  /////// 2022-07-31
........................................................................................................................GSPFINANCE  ////// GSPFINANCE: Board Meeting schedule under LR 19(1)  ////// As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the company has informed that a meeting of the Board of Directors will be held on August 08, 2022 at 3:30 PM to consider, among others, audited financial statements of the company for the year ended December 31, 2021.  /////// 2022-07-31
........................................................................................................................MARICO  ////// MARICO: Interim Dividend Disbursement  ////// The Company has informed that it has disbursed 1st interim cash dividend based on audited and approved annual Financial Statement for the year ended on March 31, 2022 to the respective shareholders.  /////// 2022-07-31
........................................................................................................................EXIM1STMF  ////// EXIM1STMF: Weekly NAV  ////// On the close of operation on July 28, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 10.86 per unit on the basis of current market price and Tk. 11.42 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,555,537,515.00 on the basis of market price and Tk. 1,636,178,619.00 on the basis of cost price after considering all assets and liabilities of the Fund.  /////// 2022-07-31
........................................................................................................................FBFIF  ////// FBFIF: Weekly NAV  ////// On the close of operation on July 28, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 11.03 per unit on the basis of current market price and Tk. 11.34 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 8,558,975,091.00 on the basis of market price and Tk. 8,802,044,633.00 on the basis of cost price after considering all assets and liabilities of the Fund.  /////// 2022-07-31
........................................................................................................................1JANATAMF  ////// 1JANATAMF: Weekly NAV  ////// On the close of operation on July 28, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 10.42 per unit on the basis of current market price and Tk. 11.63 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 3,022,414,975.00 on the basis of market price and Tk. 3,372,558,604.00 on the basis of cost price after considering all assets and liabilities of the Fund.  /////// 2022-07-31
........................................................................................................................IFIC1STMF  ////// IFIC1STMF: Weekly NAV  ////// On the close of operation on July 28, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 10.56 per unit on the basis of current market price and Tk. 11.57 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,923,123,507.00 on the basis of market price and Tk. 2,108,148,600.00 on the basis of cost price after considering all assets and liabilities of the Fund.  /////// 2022-07-31
........................................................................................................................TRUSTB1MF  ////// TRUSTB1MF: Weekly NAV  ////// On the close of operation on July 28, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 11.08 per unit on the basis of current market price and Tk. 11.64 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 3,364,478,233.00 on the basis of market price and Tk. 3,533,878,845.00 on the basis of cost price after considering all assets and liabilities of the Fund.  /////// 2022-07-31
........................................................................................................................EBL1STMF  ////// EBL1STMF: Weekly NAV  ////// On the close of operation on July 28, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 10.34 per unit on the basis of current market price and Tk. 11.69 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,496,989,099.00 on the basis of market price and Tk. 1,692,623,480.00 on the basis of cost price after considering all assets and liabilities of the Fund.  /////// 2022-07-31
........................................................................................................................RELIANCE1  ////// RELIANCE1: Weekly NAV  ////// On the close of operation on July 28, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 13.89 per unit at current market price basis and Tk. 11.49 per unit at cost price basis against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 840,074,413.00 on the basis of current market price and Tk. 695,084,484.00 on the basis of cost price after considering all assets and liabilities of the Fund.  /////// 2022-07-31
........................................................................................................................GRAMEENS2  ////// GRAMEENS2: Weekly NAV  ////// On the close of operation on July 28, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 19.77 per unit at current market price basis and Tk. 11.67 per unit at cost price basis against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 3,605,302,386.00 on the basis of current market price and Tk. 2,128,775,287.00 on the basis of cost price after considering all assets and liabilities of the Fund.  /////// 2022-07-31
........................................................................................................................NCCBLMF1  ////// NCCBLMF1: Weekly NAV  ////// On the close of operation on July 28, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 10.99 per unit on the basis of current market price and Tk. 10.45 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,192,774,908.78 on the basis of current market price and Tk. 1,134,193,902.99 on the basis of cost price after considering all assets and liabilities of the Fund.  /////// 2022-07-31
