Trading_code    News Title   News   Post Date
EXCH  ////// DSENEWS: Daily Turnover  ////// Today's (31.05.2022) Total Trades: 138,655; Volume: 174,925,525 and Turnover: Tk. 6,378.768 million.  /////// 2022-05-31
........................................................................................................................REM  ////// DSENEWS: Withdrawal of Authorized Representative  ////// Withdrawal of Authorized Representative: Remons Investment & Securities Ltd. (DSE TREC No. 108) has withdrawn one of its Authorized Representatives Mr. S. M. Naeem Hossain with immediate effect.  /////// 2022-05-31
........................................................................................................................SHU  ////// DSENEWS: Withdrawal of Authorized Representative  ////// Withdrawal of Authorized Representative: A N F Management Company Limited (DSE TREC No. 117) has withdrawn one of its Authorized Representatives Mr. Rabiul Islam with immediate effect.  /////// 2022-05-31
........................................................................................................................EXIMBANK  ////// EXIMBANK: Credit Rating Result  ////// Credit Rating Information and Services Limited (CRISL) has announced the Rating of the Company as "AA" in the long term and ?ST-2? in the short term along with a stable outlook based on audited financials of the Company up to December 31, 2021; unaudited financials up to March 31, 2022 and other relevant quantitative as well as qualitative information up to the date of rating declaration.  /////// 2022-05-31
........................................................................................................................TAKAFULINS  ////// TAKAFULINS: Appointment of Chairman  ////// The Company has informed that the Board of Directors of Takaful Islami Insurance Limited has elected Mr. Md. Abul Hashem as Chairman of the Company upto next Annual General Meeting.  /////// 2022-05-31
........................................................................................................................RAHIMAFOOD  ////// RAHIMAFOOD: Address Change of Registered Office/ business office  ////// The Company has informed that the Registered Office as well as business office of the Company has been shifted on May 29, 2022 to its new address at Rahima Food Corporation Ltd., Uttar Rupshi, Rupgonj, Narayangonj. Contact: 8809611611123; E-mail: rfcl.rahimafood@gmail.com  /////// 2022-05-31
........................................................................................................................BBSCABLES  ////// BBSCABLES: Sales Contract with China Communications Construction Compnay Ltd.  ////// The Company has informed that they have ink signed into agreements under the package with China Communications Construction Compnay Ltd. (CCCC) for supplying Power Cable, Control Cable etc. for a total amounting of BDT. 47,24,92,704.00. The goods will be delivered within Ninety days from the date of signing.  /////// 2022-05-31
........................................................................................................................CITYGENINS  ////// CITYGENINS: Dividend Disbursement  ////// The Company has informed that it has disbursed the cash dividend for the year ended December 31, 2021 to the respective shareholders.  /////// 2022-05-31
........................................................................................................................SONALIANSH  ////// SONALIANSH: Board Meeting schedule under LR 16(1)  ////// As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on June 02, 2022 at 4:30 PM to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended March 31, 2022.  /////// 2022-05-31
........................................................................................................................ISLAMICFIN  ////// ISLAMICFIN : Resumption after record date  ////// Trading of the shares of the company will resume on 01.06.2022 after record date.  /////// 2022-05-31
........................................................................................................................SIBL  ////// SIBL: Resumption after record date  ////// Trading of the shares of the company will resume on 01.06.2022 after record date.  /////// 2022-05-31
........................................................................................................................HEIDELBCEM  ////// HEIDELBCEM: Resumption after record date  ////// Trading of the shares of the company will resume on 01.06.2022 after record date.  /////// 2022-05-31
........................................................................................................................TAKAFULINS  ////// TAKAFULINS: Resumption after record date  ////// Trading of the shares of the company will resume on 01.06.2022 after record date.  /////// 2022-05-31
........................................................................................................................PENINSULA  ////// PENINSULA: Suspension for Record date  ////// Trading of the shares of the company will remain suspended on record date i.e. 01.06.2022 for EGM.  /////// 2022-05-31
........................................................................................................................DGIC  ////// DGIC: Suspension for Record date  ////// Trading of the shares of the company will remain suspended on record date i.e. 01.06.2022.  /////// 2022-05-31
........................................................................................................................AIBL1STIMF  ////// AIBL1STIMF: Spot News  ////// Trading of the units of the fund will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 01.06.2022 to 02.06.2022 and trading of the units will remain suspended on record date i.e, 05.06.2022.  /////// 2022-05-31
........................................................................................................................MBL1STMF  ////// MBL1STMF : Spot News  ////// Trading of the units of the fund will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 01.06.2022 to 02.06.2022 and trading of the units will remain suspended on record date i.e, 05.06.2022.  /////// 2022-05-31
........................................................................................................................TRUSTBANK  ////// TRUSTBANK : Spot News  ////// Trading of the shares of the company will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 01.06.2022 to 02.06.2022 and trading of the shares will remain suspended on record date i.e, 05.06.2022.  /////// 2022-05-31
........................................................................................................................UNILEVERCL  ////// UNILEVERCL: Address Change of Corporate / Share Office  ////// The Company has informed that the Corporate office including the share office of the Company will be shifted to its new address at Unilever Consumer Care Limited, Shanta Forum (10th Floor), 187-188/B, Bir Uttam Mir Shawkat Sarak, Dhaka-1208, Bangladesh. Contact: +8801324438744.  /////// 2022-05-31
........................................................................................................................MTB  ////// MTB: Decision to issue 5th MTB Non-Convertible Subordinated Bond  ////// The Company has informed that Board of Directors of the Company has decided to issue 5th MTB Non-Convertible, Unsecured, Floating Rate, Subordinated Bond up to an amount of BDT 5.00 Billion for 7 years to raise the Tier-II Capital of the Company subject to approval of the Regulatory Authorities.  /////// 2022-05-31
........................................................................................................................EXCH  ////// DSENEWS: DSE Training News  ////// (Continuation of DSENEWS): Queries in this regard may be directed to the Academy at +8809666702070, Ext. nos. 1342, 1344, Cell no - 01709656743 or email at training@dse.com.bd or logon to www.dsebd.org/securities-market-rules-regulation.php. (end)  /////// 2022-05-31
........................................................................................................................EXCH  ////// DSENEWS: DSE Training News  ////// Training Program on "Securities Market Rules and Regulations": The program will be held from 12 June, 2022 to 27 June, 2022, at 3:00 pm to 5:00 pm. For registration and information, contact to DSE Training Academy, DSE Tower (level-13), Plot No-46, Road No-21, Nikunja-02, Dhaka-1229 with a fee of BDT. 9,000/- (Nine thousand taka) only (excluding-all taxes). (cont.)  /////// 2022-05-31
........................................................................................................................RAHIMAFOOD  ////// RAHIMAFOOD: Commencement of commercial operation  ////// Referring to the earlier news of the Company disseminated by DSE on 15.02.2022. the Company has further informed that it will commence commercial operation of its plant, set up for processing and packing of cashew nuts, after completion of its trial production on 31. 05. 2022.  /////// 2022-05-31
........................................................................................................................MITHUNKNIT  ////// MITHUNKNIT: Q3 Financials  ////// (Q3 Un-audited): The Company informed that due to suspension of factory operation, the Earning Per Share and Net Operating Cash Flow Per Share were nil. NAV per share was 3.18 as on June 30, 2021.  /////// 2022-05-31
........................................................................................................................MITHUNKNIT  ////// MITHUNKNIT: Q2 Financials  ////// (Q2 Un-audited): The Company informed that due to suspension of factory operation, the Earning Per Share and Net Operating Cash Flow Per Share were nil. NAV per share was 3.18 as on June 30, 2021.  /////// 2022-05-31
........................................................................................................................MITHUNKNIT  ////// MITHUNKNIT: Q1 Financials  ////// (Q1 Un-audited): The Company informed that due to suspension of factory operation, the Earning Per Share and Net Operating Cash Flow Per Share were nil. NAV per share was 3.18 as on June 30, 2021.  /////// 2022-05-31
........................................................................................................................FUWANGFOOD  ////// FUWANGFOOD: Q3 Financials  ////// (Q3 Un-audited): EPS was Tk. 0.02 for January-March 2022 as against Tk. 0.09 for January-March 2021; EPS was Tk. 0.11 for July 2021-March 2022 as against Tk. 0.26 for July 2020-March 2021. NOCFPS was Tk. 0.15 for July 2021-March 2022 as against Tk. 0.39 for July 2020-March 2021. NAV per share was Tk. 11.70 as on March 31, 2022 and Tk. 11.60 as on March 31, 2021.  /////// 2022-05-31
........................................................................................................................RUPALIBANK  ////// RUPALIBANK: Q1 Financials  ////// (Q1 Un-audited): Consolidated EPS was Tk. 0.21 for January-March 2022 as against Tk. 0.17 for January-March 2021. Consolidated NOCFPS was Tk. 3.88 for January-March 2022 as against Tk. (1.18) for January-March 2021. Consolidated NAV per share was Tk. 39.15 as on March 31, 2022 and Tk. 37.88 as on December 31, 2021. NOCFPS has increased due to increase in deposits, loan and advances, borrowing from other banks and financial institutions.  /////// 2022-05-31
........................................................................................................................BERGERPBL  ////// BERGERPBL: Price Limit Open  ////// There will be no price limit on the trading of the shares of the Company today (31.05.2022) following its corporate declaration.  /////// 2022-05-31
........................................................................................................................BERGERPBL  ////// BERGERPBL: Dividend Declaration  ////// (Continuation news of BERGERPBL): The Company has also reported Consolidated EPS of Tk. 62.68, Consolidated NAV per share of Tk. 227.39 and Consolidated NOCFPS of Tk. 63.43 for the year ended March 31, 2022 as against Tk. 57.55, Tk. 232.29 and Tk. 72.10 respectively for the same period of the previous year. (end)  /////// 2022-05-31
........................................................................................................................BERGERPBL  ////// BERGERPBL: Dividend Declaration  ////// The Board of Directors has recommended 100% final cash dividend (total 400% cash dividend for the financial year 2021-2022 inclusive 300% interim cash dividend, which has already been paid) for the year ended March 31, 2022. Date of AGM: 24.08.2022, Time of AGM: 10:00 AM, Venue: Digital Platform. Record Date: 26.06.2022. (cont.)  /////// 2022-05-31
........................................................................................................................EXCH  ////// DSENEWS: No Registration is required for QI for trading in the secondary market  ////// (Continuation of DSENEWS): information (KYC) is preserved by them. 3. For further checking as to eligibility of QI's order, the trade data may be verified at the time of clearing and settlement through Clearing and Settlement (CNS) software of stock exchanges and stock exchanges will make a report (with warning to DPs) after trade hours based CNS's data and submit it to the Commission. (end)  /////// 2022-05-31
........................................................................................................................EXCH  ////// DSENEWS: No Registration is required for QI for trading in the secondary market  ////// (Continuation of DSENEWS): and accordingly Exchanges will ensure their trading facilities in the secondary platform. 2. At the time of accepting any buy or sell order for shares listed in SME platform, the respective DPs/brokerage houses will ensure the eligibility of Qualified Investors based on their available data in back-office software or OMS. Confirmation of QI is more preferable to implement at BROKER end through Order Management System (OMS) or back office system as investors' primary (cont. 3)  /////// 2022-05-31
........................................................................................................................EXCH  ////// DSENEWS: No Registration is required for QI for trading in the secondary market  ////// (Continuation of DSENEWS): through Electronic Subscription System (ESS) of the Exchanges based on data and information provided by CDBL and DP, without fees as per the latest issued Commission's Notification. However, the Qualified Investors for trading in the secondary market do not require registration in ESS further. The Central Depository Bangladesh Limited (CDBL) or Depository Participants (DP) will provide the list of the Qualified Investors on quarterly basis to the Exchanges (cont. 2)  /////// 2022-05-31
........................................................................................................................EXCH  ////// DSENEWS: No Registration is required for QI for trading in the secondary market  ////// No Registration is required for Qualified Investors (QIs) for trading in the secondary market: For the betterment of Small Capital Platform and to implement the BSEC notification no. BSEC/SRMIC/2021-206/69 dated February 17, 2022 regarding Qualified Investors of Small Capital Platform, BSEC has taken the following decisions: 1. In addition to existing registration process for the Qualified Investors (Qls) for applying the primary shares, the stock exchanges will register automatically (cont.1)  /////// 2022-05-31
........................................................................................................................EXCH  ////// DSENEWS: Compliances and Awareness for Alert to Covid - 19  ////// (continuation news of DSENEWS): (6) Arrangement of hand sanitizer every time to enter office premise (employees, clients and visitors), (7) Arrangement of mask to provide to employees and clients in the brokerage house, (8) Discourage visitors to enter into the office, (9) Arrangement of virtual office for part of employees on rotation basis and (10) Avoid face to face meetings in the office and encourage telephone/video conference among the employees and clients. (end)  /////// 2022-05-31
........................................................................................................................EXCH  ////// DSENEWS: Compliances and Awareness for Alert to Covid - 19  ////// DSENEWS: All concerned are hereby informed that (1) Discourage clients for rushing in the brokerage house and encourage more for trading through mobile apps and other internet based devices, (2) No hand shake, (3) No hugging; (4) Maintain reasonable social distance (at least one meter), (4) Identifying employees and clients who is coughing or sneezing or with any suspicious symptoms, (5) Avoid touching eyes, nose, ears and mouth, (cont.)  /////// 2022-05-31
........................................................................................................................EXCH  ////// DSENEWS: Awareness message  ////// DSENEWS: All Stock Dealers, Stock Brokers and Authorized Representatives are asked to strictly follow the code of conduct as enumerated in the Second Schedule to the Securities and Exchange Commission (Stock Dealer, Stock Broker and Authorized Representative) Rules, 2000.  /////// 2022-05-31
