Title,Location,Price,Images,Meta Data,Feature,Description,URL
Xiaomi Redmi 6 4/64GB (New),"Posted on 24 Aug 1:28 pm, Mirpur, Dhaka","Tk 7,490","['xiaomi-redmi-6-4-64gb-new-for-sale-dhaka-53@ed6b1145-36e0-4790-94f2-f8aa97756ee1', 'xiaomi-redmi-6-4-64gb-new-for-sale-dhaka-53@7da969e1-529a-44fc-8161-9842314e448d']","{'Condition:': 'New', 'Brand:': 'Xiaomi', 'Model:': 'Redmi 6', 'Edition:': '4/64GB', 'Authenticity:': 'Original'}",,"★Model:-Redmi 6
★Ram:-4GB 
★Rom:-64GB 
★Back Camera:-12MP 
★Front Camera:-5MP 
★Battery:-3000mAh🔋 
**** ★1 Years Service Warranty 
🌲 ঠিকনা: Mobile Source শপ- ১৬, লেভেল-4 শাহ আলী প্লাজা, মিরপুর-১০ ঢাকা ****★****★","https://bikroy.com/en/ad/xiaomi-redmi-6-4-64gb-new-for-sale-dhaka-53
"
Realme Pad (3/32GB Wifi) (New),"Posted on 17 Oct 11:03 am, Badda, Dhaka","Tk 19,999","['realme-pad-3-32gb-wifi-new-for-sale-dhaka@051de084-aa46-4faa-bce4-8292d891979f', 'realme-pad-3-32gb-wifi-new-for-sale-dhaka@edfa986d-1c1c-45a7-b719-3b3f67b806b3', 'realme-pad-3-32gb-wifi-new-for-sale-dhaka@7fae820e-6e91-4acf-b48a-db4967cd6562', 'realme-pad-3-32gb-wifi-new-for-sale-dhaka@8c4e17a9-5639-4299-a938-0e43a96795da', 'realme-pad-3-32gb-wifi-new-for-sale-dhaka@afb9b4a4-01aa-467a-9687-2f4c455f5c0e']","{'Condition:': 'New', 'Brand:': 'Realme', 'Model:': 'Other model', 'Edition:': 'Pad (3/32GB Wifi)', 'Authenticity:': 'Original'}",,"🌷🌷Welcome to""Silver Tech BD.""🌷🌷
Specifications :-
▶️ Realme pad
▶️Ram-3
▶️Rom-32
▶️🔋>>7100 mah
▶️📷>>8//8
▶️ Chipset >>Helio G80(12nm)
▶️ Display>>10.4"" Full HD
👉👉    আপনি যা যা পাবেন>>>
🔹Device.
🔹Charger.
🔹Ime Matching Box.
🔹Invioce/Cash Memo.
🔴 Price is fixed so No Bargain please🙏🙏
100%   জেনুইন প্রোডাক্ট পেতে চলে আসুন আামাদের দোকানে, আর যাচাই করে নিন আমাদের প্রোডাক্ট গুলো আসল নাকি নকল।তাই আপনি প্রতিটি মোবাইলের সাথে পাবেনঃ-
👉👉7 Days Replacement opportunity. 
👉👉12 Months Service Warranty(without display & fingerprint).
▶️Exchange Facility :-
আপনার পুরাতন মোবাইল আমাদের সাথে Exchange করতে পারেন।এ ছারা আমরা পুরাতন মোবাইল ক্রয়  ও করে থাকি কিন্তু সে ক্ষেত্রে মোবাইলের Box অবশ্যই থাকতে হবে।  
Weekly holiday :Wednesday. 
Our Business Time :10am to 9pm,
Friday 3pm to 9pm
আামাদের ঠিকানাঃ-
Silver Tech BD.
Tropical MollahTower
Shop No -5( Ground floor)
Sha-15/1-15/4,Progati Sarani
(Opposite of Bepari Configure 
Shopping Centre).Near{Gulshan+Badda}Link Road.Middle Badda,Dhaka-1212.
Facebook page:- https://www.facebook.com/Silvertechbd/
Bikroy:-
https://bikroy.com/en/shops/silver-tech-bd","https://bikroy.com/en/ad/realme-pad-3-32gb-wifi-new-for-sale-dhaka
"
Xiaomi Redmi Note 8 Mobile (Used),"Posted on 18 Oct 8:36 pm, Habiganj, Sylhet Division","Tk 11,300","['xiaomi-redmi-note-8-sikuritti-aache-used-for-sale-sylhet-division-3@2b1a2549-28ac-43e1-86da-881e1607ba5a', 'xiaomi-redmi-note-8-sikuritti-aache-used-for-sale-sylhet-division-3@b26bb86b-a950-413e-9224-190d7ccc6af8', 'xiaomi-redmi-note-8-sikuritti-aache-used-for-sale-sylhet-division-3@950cb223-7951-4070-8675-a36532a8625c', 'xiaomi-redmi-note-8-sikuritti-aache-used-for-sale-sylhet-division-3@879b3b79-27e9-4b19-adb7-2eb90e91b14f', 'xiaomi-redmi-note-8-sikuritti-aache-used-for-sale-sylhet-division-3@57c8a62e-f5b7-4b56-96f6-07e6aa15af30']","{'Condition:': 'Used', 'Brand:': 'Xiaomi', 'Model:': 'Redmi Note 8', 'Edition:': 'Mobile', 'Authenticity:': 'Original'}",,টাকা দরকার তাই বিক্রি হচ্ছে মোবাইলটা ভালো আছে দেখে নিবেন ভালো  সিকুরিটি আছে,
Realme XT 6/64 (Used),"Posted on 18 Oct 8:35 pm, Jatrabari, Dhaka","Tk 15,000","['realme-xt-6-64-used-for-sale-dhaka-148@887ec6ac-0aaa-454f-8457-fe8abda8a105', 'realme-xt-6-64-used-for-sale-dhaka-148@746f5b71-3790-4c19-861b-09473990d198', 'realme-xt-6-64-used-for-sale-dhaka-148@91cef690-d8ca-4956-84e1-46b8ad65da02', 'realme-xt-6-64-used-for-sale-dhaka-148@88ad7acd-66bb-4da9-9708-2ce2a13f955c']","{'Condition:': 'Used', 'Brand:': 'Realme', 'Model:': 'XT', 'Edition:': '6/64', 'Authenticity:': 'Original'}",,"ফোনটি অনেক ভালো 
কোন সমস্যা নাই যত খুশি দেখে নিবেন 
সাথে Exsel চার্জার পাবেন
আর আপনি চাইলে আইডি কার্ডের ফটো কপি",
Infinix Hot 10 4/64 (Used),"Posted on 18 Oct 8:35 pm, Dinajpur, Rangpur Division","Tk 10,500","['infinix-hot-10-4-64-used-for-sale-rangpur-division@b21ca217-8f63-44a1-bf1c-23a5d4d7babe', 'infinix-hot-10-4-64-used-for-sale-rangpur-division@d9342064-bd3a-4cc0-9266-e84c8c946f8d', 'infinix-hot-10-4-64-used-for-sale-rangpur-division@699cf93b-bf17-4a28-9b00-5ef592d5e877', 'infinix-hot-10-4-64-used-for-sale-rangpur-division@9388af8b-47bf-4823-96e2-c9915e7d7eda', 'infinix-hot-10-4-64-used-for-sale-rangpur-division@ccac3752-e604-4da7-b61c-cf14c3f51142']","{'Condition:': 'Used', 'Brand:': 'Infinix', 'Model:': 'Hot 10', 'Edition:': '4/64', 'Authenticity:': 'Original'}",,"phonta onek valo phone,,,,,,,,, phoner box charger sb ace,,,,,,, phone kono dag nai,,,,,,, dekhte akebare notuner moto,,,,,,,,,",
Xiaomi Redmi Note 7 Pro 6/128 full box (New),"Posted on 18 Oct 8:35 pm, Gazipur, Dhaka Division","Tk 12,990","['xiaomi-redmi-note-7-pro-6-128-full-box-new-for-sale-dhaka-division-1@7c073037-c724-4762-bd6f-8f32d99a2440', 'xiaomi-redmi-note-7-pro-6-128-full-box-new-for-sale-dhaka-division-1@70efd67e-ce3e-4f9e-8b8a-43d3371ca8b8', 'xiaomi-redmi-note-7-pro-6-128-full-box-new-for-sale-dhaka-division-1@0f372258-c74b-4d09-a21c-4c94848cbb30', 'xiaomi-redmi-note-7-pro-6-128-full-box-new-for-sale-dhaka-division-1@62469d3f-323e-4b05-aab7-bb572bc97a90']","{'Condition:': 'New', 'Brand:': 'Xiaomi', 'Model:': 'Redmi Note 7 Pro', 'Edition:': '6/128 full box', 'Authenticity:': 'Original'}",,"🔥ma telecom buy sell exchange🔥
                        ↪️পুরাতন দিন নতুন নিন।
নতুন এবং পুরাতন মোবাইল বেচাকেনা করার বড় বাজার।
                           🔰মাওনা চৌরাস্তা 🔰
NOTE 7 PRO 6/128 NEW 🏮.💥
   নিউ ইন্টাক্ট প্রোডাক্ট দেওয়া যাবে।
Battery:4000 mAh
Screen:6.3 inches, Full HD+ 1080 x 2340 pixels (409 ppi)
Processor:Octa-core, up to 2.0 GHz- Qualcomm Snapdragon 675
Memory:4/6 GB RAM + 64/128 GB ROM
OS:Android Pie v9.0 (MIUI 10)
Camera:Dual 48+5 Megapixel
Selfie:13 Megapixel
..🔲.....A..2 z.... চেক করে দেখে নিবেন।।।
💥 100% অরিজিনাল প্রোডাক্ট 💯
💥যেভাবে ইচ্ছে ফোনটি দেখে নিতে পারবেন।
..🌐 প্রতিটা ফোনে পাচ্ছেন।
🔘এবং এক বছরের সার্ভিস ওয়ারেন্টি🔘
       পার্টস  ব্যতীত🔲🤝
....................✔️একেবারে নতুন ফোন।📱
💥আমাদের প্রোডাক্ট কপি অথবা ক্লোন প্রমাণ করতে পারলে 100 পার্সেন্ট টাকা রিটার্ন হবে ইনশাল্লাহ🌞।
🔳fixed price...💯. 
এক টাকাও কম হবে না ♻️
..............................................
দামাদামি করার ইচ্ছে থাকলে কেউ ফোন দিবেন না।
মোবাইল নেওয়ার ইচ্ছা থাকলে সরাসরি ফোন দিবেন।
🌐আমাদের কাছ থেকে ফোন গুলো কেন নিবেন,,,??
       🌐your product 100% genuine original. ✔️
        👉মডেল গুলো আগের তাই কমে বিক্রি করা হচ্ছে। 👈
                               🤝🤝🤝🤝
🔳....লাভ কম সেল বেশি এই নীতিতে বিশ্বাসী....🔳
       🔳 আমাদের দোকানের সবগুলি বিজ্ঞাপন দেখতে
        বিজ্ঞাপনের ডানপাশে মেম্বারশিপে
         #Matelecom
      ক্লিক করুন ✔️
      বেছে নিন আপনার কাঙ্খিত ফোনটি,,,.....................
            🔲 সপ্তাহের 7 দিনই আমাদের দোকান খোলা আছে।
     💥 প্রতি শুক্রবার দিন থাকে স্পেশাল ডিস্কাউন্ট।✔️
🇧🇩দেশের যেকোনো প্রান্তে  কুরিয়ার সার্ভিস এর মাধ্যমে
মোবাইল পাঠানো হয়।
🔲আপনি চাইলে আপনার প্রোডাক্টি ভিডিও কলে দেখে নিতে পারেন.
                   ✳️✳️✳️কিছু কথা✳️✳️✳️✔️
                   🌐 👉অল্প কিছু টাকা বাঁচাতে ক্লোন ফোন কিনে প্রতারিত হবেন না।
🌐👉পণ্যের গুণগত মান নিয়ে প্রশ্ন থাকলে দোকানে এসে দেখে যাবেন।
                        ,,,,,,,,  💥buy sell exchange 💥,,,,,,,,
                          🌐পুরাতন ফোন বিক্রি করে কেশ করা এখন মাত্র ঘণ্টার ব্যাপার👈
🌐 👉আমাদের কাছে রয়েছে নতুন এবং পুরাতন ফোনের বিশাল সমাহার।
🌐 👉আপনি ইচ্ছে করলে আপনার হাতের  ফোনটি দিয়ে নতুন ফোন এক্সচেঞ্জ করতে পারবেন।
সাথে  মোবাইল এর বক্স থাকতে হবে।
এবং এনআইডি কার্ডের কপি আনতে হবে।।
🌐👉  আপনি ইচ্ছে করলে আপনার হাতের  মোবাইলটি আমাদের কাছে বিক্রি করতে পারেন ভালো দামে।
................................🤝🤝🤝........................................
♻️একমাত্র আমরাই সবচেয়ে দাম দিয়ে ফোন কিনে থাকি এবং সবচেয়ে কম  দামে ফোন বিক্রি করি ♻️
✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️
🔳  দোকান সকাল 10 টা হতে রাত ১০ টা পর্যন্ত দোকান খোলা থাকে।
🔳দোকানে আসার আগে   ফোন দিয়ে সিওর হয়ে আসবেন।
আপনার কাঙ্খিত পণ্যটি আছে নাকি সেল হয়ে গেছে।
 .........................🏬 কিভাবে আসবেন 🚶🚶🚶।
🚦যে কোন যানবাহনে মাওনা চোরাস্তা এসে নামবেন🚥
............. লোকেশন
........🔲মাওনা চৌরাস্তা🔲 থেকে  শ্রীপুর রোডে একটু🤌
...................... সামনে হাতের বাম পাশে।👈
হাজী ইয়াকুব আলী মাস্টার টাওয়ার👆
 তৃতীয় তলায় ।
💥......................🏬👉মা টেলিকম👈 🏬......
    💥 মনে রাখবেন ইয়াকুব আলী মাস্টার টাওয়ারে  মা টেলিকম শুধু একটাই।
    কিছু অসাধু ব্যবসায়ী মা টেলিকম বলে আমার কাস্টমারের কাছে ফোন বিক্রি করে।।।😔",
Samsung Galaxy A22 128 GB (Used),"Posted on 18 Oct 8:35 pm, Mirpur, Dhaka","Tk 13,200","['samsung-galaxy-a22-128-used-for-sale-dhaka@8ee9379c-533b-465c-89d7-a69feeda3437', 'samsung-galaxy-a22-128-used-for-sale-dhaka@b2c00d3c-9ea7-49e3-91d5-997c1640fc8b', 'samsung-galaxy-a22-128-used-for-sale-dhaka@1c7fa01f-0c2e-40fc-87a6-9f54162812f4', 'samsung-galaxy-a22-128-used-for-sale-dhaka@75b36bdc-0413-460c-b614-7ce1059148a5', 'samsung-galaxy-a22-128-used-for-sale-dhaka@1d5a5172-78fe-4221-8092-46887b2b0c11']","{'Condition:': 'Used', 'Brand:': 'Samsung', 'Model:': 'Galaxy A22', 'Edition:': '128 GB', 'Authenticity:': 'Original'}",,"Full New 
Kno problem nail 
joto money chay deke niben 
Like new 
pisone poli lagano asc",
Xiaomi Redmi Note 7 Pro (Used),"Posted on 18 Oct 8:35 pm, Chuadanga, Khulna Division","Tk 9,500","['xiaomi-redmi-note-7-pro-used-for-sale-khulna-division-799@81f46a18-77fa-4cc6-9f4e-3fec1a49218e', 'xiaomi-redmi-note-7-pro-used-for-sale-khulna-division-799@631d5c96-c0c4-4ad6-8bcd-88dbd01b787d']","{'Condition:': 'Used', 'Brand:': 'Xiaomi', 'Model:': 'Redmi Note 7 Pro', 'Authenticity:': 'Original'}",,"Redmi Note 7pro
Ram-4GB
Rom-64GB
Back Camera-Dual 48+5 Megapixel
Front Camera-13 Megapixel
Battery-Lithium-polymer 4000 mAh (non-removable)
ফোনে কোন প্রকার সমস্যা নাই যত ইচ্ছে দেখে নিবেন।ফোনের সাথে শুধুমাত্র চার্জার পাবেন।বক্স নিতে হলে কিছুদিন অপেক্ষা করতে হবে ঢাকার বাসায় আছে",
Sony Xperia Z1 . (Used),"Posted on 18 Oct 8:35 pm, Mirpur, Dhaka","Tk 3,500","['sony-xperia-z1-used-for-sale-dhaka-843@4ef63652-4cbb-4eb1-9a65-be624869d0d0', 'sony-xperia-z1-used-for-sale-dhaka-843@bb94b317-1b4d-4c60-a765-c523f79cc70c', 'sony-xperia-z1-used-for-sale-dhaka-843@60cf5ada-5a9f-441a-8ed1-dcb2b681728b']","{'Condition:': 'Used', 'Brand:': 'Sony', 'Model:': 'Xperia Z1', 'Edition:': '.', 'Authenticity:': 'Original'}",,"sony z1 2gb 16 gb
tuch dan saide ektu kom kaj kore 
achara sob thik ase keu nite chaile phone koreben pice 3500",
Imam i10 3/32 (Used),"Posted on 18 Oct 8:33 pm, Kushtia, Khulna Division","Tk 3,000","['imam-i10-3-32-used-for-sale-khulna-division-3@bfd01990-71e9-4994-a2a6-70c726cdb940', 'imam-i10-3-32-used-for-sale-khulna-division-3@120a6e26-8e77-434b-8ee7-35c7f214ecd0', 'imam-i10-3-32-used-for-sale-khulna-division-3@2636c4f2-0384-4639-a8d5-0069659f8e4a', 'imam-i10-3-32-used-for-sale-khulna-division-3@f36f3422-7c1f-46e2-908c-e3d8df7d0467', 'imam-i10-3-32-used-for-sale-khulna-division-3@fd12bffc-1baa-4de8-95c2-f2b1021b8a7c']","{'Condition:': 'Used', 'Brand:': 'Imam', 'Model:': 'i10', 'Edition:': '3/32', 'Authenticity:': 'Original'}",,phon a to kag korano aca তাছাড়া সব ok aca only phon,
